"Player","Position","Team","Sleeper","ESPN","Yahoo!","CBS","Fantrax","FFPC","BB10s","NFFC","Underdog","Consensus"
"Garrett Groshek","RB","","586.5","","","","","","","","","586.5"
"Jared Rice","TE","","587.5","","","","","","","","","587.5"
"Changa Hodge","WR","","590.5","","","","","","","","","590.5"
"Malachi Jones","WR","","591.0","","","","","","","","","591.0"
"Daurice Fountain","WR","","593.0","","","","","","","","","593.0"
"Neal Johnson","TE","","593.8","","","","","","","","","593.8"
"Jalen Greene","WR","","594.0","","","","","","","","","594.0"
"Cole Beck","WR","","594.9","","","","","","","","","594.9"
"Jesse James","TE","","596.8","","","","","","","","","596.8"
"Austin Appleby","QB","","597.0","","","","","","","","","597.0"
"Travis Benjamin","WR","","597.0","","","","","","","","","597.0"
"Matt Landers","WR","","599.0","","","","","","","","","599.0"
"N'Keal Harry","TE","","599.5","","","","","","","","","599.5"
"Sony Michel","RB","","600.0","","","","","","","","","600.0"
"Justice Shelton-Mosley","WR","","601.0","","","","","","","","","601.0"
"Taj McGowan","RB","","602.0","","","","","","","","","602.0"
"Johnny Lumpkin","TE","","602.0","","","","","","","","","602.0"
"Josh Kelly","WR","HOU","603.0","","","","","","","","","603.0"
"Hunter Kampmoyer","TE","","604.3","","","","","","","","","604.3"
"Xavier Loyd","WR","KC","605.0","","","","","","","","","605.0"
"Jalon Calhoun","WR","","606.0","","","","","","","","","606.0"
"Caleb Repp","TE","","606.5","","","","","","","","","606.5"
"CJ Verdell","RB","","607.2","","","","","","","","","607.2"
"Nick Ralston","RB","","607.5","","","","","","","","","607.5"
"Marcelias Sutton","RB","","607.5","","","","","","","","","607.5"
"Dillon Johnson","RB","","610.3","","","","","","","","","610.3"
"TD Ayo-Durojaiye","RB","","610.5","","","","","","","","","610.5"
"John Michael Gyllenborg","TE","KC","611.2","","","","","","","","","611.2"
"Josh Love","QB","","611.5","","","","","","","","","611.5"
"Marcus Simms","WR","","612.0","","","","","","","","","612.0"
"Sean Riley","WR","","612.2","","","","","","","","","612.2"
"Lake McRee","TE","PIT","613.0","","","","","","","","","613.0"
"Garrett Celek","TE","","613.5","","","","","","","","","613.5"
"Garrett Greene","QB","TB","614.0","","","","","","","","","614.0"
"Kentrel Bullock","RB","CIN","615.3","","","","","","","","","615.3"
"Dylan Leonard","TE","","616.0","","","","","","","","","616.0"
"Vance McDonald","TE","","617.3","","","","","","","","","617.3"
"Jack Sorenson","WR","","618.5","","","","","","","","","618.5"
"Johnny King","WR","","621.5","","","","","","","","","621.5"
"Austin Aune","QB","","622.2","","","","","","","","","622.2"
"Riley Ridley","WR","","622.5","","","","","","","","","622.5"
"Ryan Tannehill","QB","","623.1","","","","","","","","","623.1"
"Marcus Riley","WR","","623.6","","","","","","","","","623.6"
"Seth Williams","WR","","624.0","","","","","","","","","624.0"
"Tim DeMorat","QB","","626.3","","","","","","","","","626.3"
"BJ Baylor","RB","","629.0","","","","","","","","","629.0"
"Clayton Thorson","QB","NYG","629.5","","","","","","","","","629.5"
"Adrian Coxson","WR","","630.0","","","","","","","","","630.0"
"Kyle Dixon","WR","NE","630.0","","","","","","","","","630.0"
"Thyrick Pitts","WR","","631.0","","","","","","","","","631.0"
"Napoleon Maxwell","RB","","633.0","","","","","","","","","633.0"
"Bryce Perkins","QB","","633.3","","","","","","","","","633.3"
"Denzel Mims","WR","DAL","633.5","","","","","","","","","633.5"
"Calvin Jackson","WR","","634.0","","","","","","","","","634.0"
"Brandon Bolden","RB","","634.3","","","","","","","","","634.3"
"Darion Clark","TE","","635.0","","","","","","","","","635.0"
"Ian Bunting","TE","","635.8","","","","","","","","","635.8"
"Alex Gray","TE","","636.6","","","","","","","","","636.6"
"Holton Ahlers","QB","","636.8","","","","","","","","","636.8"
"Sammis Reyes","TE","","637.0","","","","","","","","","637.0"
"Courtney Jackson","WR","TEN","637.0","","","","","","","","","637.0"
"Steve Wroblewski","TE","","637.7","","","","","","","","","637.7"
"Mike Davis","RB","","638.0","","","","","","","","","638.0"
"Keelan Doss","WR","","639.0","","","","","","","","","639.0"
"Javon Wims","WR","","639.2","","","","","","","","","639.2"
"Larry Rountree","RB","","640.0","","","","","","","","","640.0"
"Darrell Henderson","RB","","640.3","","","","","","","","","640.3"
"Gerrid Doaks","RB","","640.5","","","","","","","","","640.5"
"Kalif Jackson","TE","MIA","641.0","","","","","","","","","641.0"
"Boston Scott","RB","","641.2","","","","","","","","","641.2"
"Donte Moncrief","WR","","641.5","","","","","","","","","641.5"
"Josh Caldwell","RB","","642.2","","","","","","","","","642.2"
"Logan Stokes","TE","","642.5","","","","","","","","","642.5"
"Chad Henne","QB","","643.8","","","","","","","","","643.8"
"Trey Quinn","WR","","644.0","","","","","","","","","644.0"
"Luis Perez","QB","","644.8","","","","","","","","","644.8"
"Kellen Mond","QB","","645.0","","","","","","","","","645.0"
"James Robinson","RB","","645.0","","","","","","","","","645.0"
"Jeff Cotton","WR","","646.0","","","","","","","","","646.0"
"Cash Jones","RB","ATL","646.0","","","","","","","","","646.0"
"Noah Thomas","WR","CIN","646.8","","","","","","","","","646.8"
"Mohamed Sanu","WR","","647.3","","","","","","","","","647.3"
"Jordan Hudson","WR","DAL","647.8","","","","","","","","","647.8"
"Romello Brinson","WR","","648.0","","","","","","","","","648.0"
"Da'Mari Scott","WR","","649.0","","","","","","","","","649.0"
