team,off_rank
ARI,29
ATL,21
BAL,15
BUF,2
CAR,24
CHI,10
CIN,8
CLE,31
DAL,4
DEN,13
DET,3
GB,18
HOU,11
IND,23
JAX,9
KC,7
LAC,14
LAR,1
LV,32
MIA,30
MIN,25
NE,5
NO,20
NYG,27
NYJ,28
PHI,12
PIT,16
SEA,6
SF,17
TB,22
TEN,26
WSH,19
